---------------------------
|         n |  n log_2(n) |
|       793 |    7637.5 |
|       794 |    7648.6 |
|       795 |    7659.7 |
|       796 |    7670.8 |
|       797 |    7681.8 |
|       798 |    7692.9 |
|       799 |    7704.0 |
|       800 |    7715.1 |
|       801 |    7726.2 |
|       802 |    7737.3 |
|       803 |    7748.4 |
|       804 |    7759.4 |
|       805 |    7770.5 |
|       806 |    7781.6 |
|       807 |    7792.7 |
|       808 |    7803.8 |
|       809 |    7814.9 |
|       810 |    7826.0 |
|       811 |    7837.1 |
|       812 |    7848.3 |
|       813 |    7859.4 |
|       814 |    7870.5 |
|       815 |    7881.6 |
|       816 |    7892.7 |
|       817 |    7903.8 |
|       818 |    7914.9 |
|       819 |    7926.1 |
|       820 |    7937.2 |
|       821 |    7948.3 |
|       822 |    7959.4 |
|       823 |    7970.5 |
|       824 |    7981.7 |
|       825 |    7992.8 |
|       826 |    8003.9 |
|       827 |    8015.1 |
|       828 |    8026.2 |
|       829 |    8037.3 |
|       830 |    8048.5 |
|       831 |    8059.6 |
|       832 |    8070.8 |
|       833 |    8081.9 |
|       834 |    8093.1 |
|       835 |    8104.2 |
|       836 |    8115.4 |
|       837 |    8126.5 |
|       838 |    8137.7 |
|       839 |    8148.8 |
|       840 |    8160.0 |
|       841 |    8171.1 |
|       842 |    8182.3 |
|       843 |    8193.4 |
|       844 |    8204.6 |
|       845 |    8215.8 |
|       846 |    8226.9 |
|       847 |    8238.1 |
|       848 |    8249.3 |
|       849 |    8260.4 |
|       850 |    8271.6 |
|       851 |    8282.8 |
|       852 |    8294.0 |
|       853 |    8305.2 |
|       854 |    8316.3 |
|       855 |    8327.5 |
|       856 |    8338.7 |
|       857 |    8349.9 |
|       858 |    8361.1 |
|       859 |    8372.3 |
|       860 |    8383.4 |
|       861 |    8394.6 |
|       862 |    8405.8 |
|       863 |    8417.0 |
|       864 |    8428.2 |
|       865 |    8439.4 |
|       866 |    8450.6 |
|       867 |    8461.8 |
|       868 |    8473.0 |
|       869 |    8484.2 |
|       870 |    8495.4 |
|       871 |    8506.6 |
|       872 |    8517.9 |
|       873 |    8529.1 |
|       874 |    8540.3 |
|       875 |    8551.5 |
|       876 |    8562.7 |
|       877 |    8573.9 |
